BHK,Size,Floor,Area Locality,City,Bathroom,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,Rent
2,1100,454,220,4,2,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,967.936049,14,1525,4,1,0,0,1,0,1,0,0,1,0,0,0,1,20000
2,1000,14,1758,4,1,0,0,1,0,1,0,0,1,0,0,0,1,17000
2,967.936049,10,525,4,1,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,850,10,1888,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7500
2,600,446,1973,4,2,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,700,457,1183,4,2,0,0,1,0,0,1,1,0,0,1,0,0,10000
1,250,10,1183,4,1,0,0,1,0,0,1,1,0,0,1,0,0,5000
2,967.936049,10,1475,4,2,0,1,0,0,0,1,1,0,0,1,0,0,26000
2,1000,14,1357,4,2,0,1,0,0,1,0,0,1,0,0,0,1,10000
3,1200,16,28,4,2,0,1,0,0,1,0,0,1,0,1,0,0,25000
1,400,1,990,4,1,0,1,0,0,0,1,0,1,0,1,0,0,5000
1,250,16,1963,4,1,0,0,1,1,0,0,1,0,0,0,0,1,6500
1,375,10,524,4,1,0,1,0,0,0,1,0,1,0,1,0,0,5500
3,1286,1,1400,4,2,0,0,1,1,0,0,0,1,0,0,0,1,40000
2,600,10,236,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,800,454,259,4,1,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,2000,456,260,4,1,0,1,0,0,0,1,0,1,0,0,0,1,11000
2,660,10,259,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
2,650,10,1778,4,1,0,1,0,0,0,1,0,0,1,0,0,1,7900
2,400,196,612,4,2,0,0,1,0,0,1,1,0,0,0,0,1,9000
1,300,457,612,4,1,0,1,0,0,0,1,0,1,0,0,0,1,4000
3,1600,454,859,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6500
1,400,10,1891,4,1,0,0,1,0,1,0,1,0,0,1,0,0,8000
2,1000,1,1629,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,1000,456,1009,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,800,312,196,4,1,0,0,1,0,0,1,0,1,0,0,0,1,8500
2,850,454,1597,4,2,0,0,1,0,0,1,0,1,0,0,0,1,12500
1,350,454,195,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7500
2,900,454,1564,4,2,0,1,0,0,0,1,0,1,0,0,0,1,15000
2,550,1,2112,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,967.936049,454,239,4,2,0,1,0,0,0,1,0,1,0,0,0,1,5000
3,1100,196,525,4,1,0,1,0,0,0,1,0,1,0,0,0,1,22000
2,850,10,1891,4,1,0,1,0,0,1,0,0,1,0,0,0,1,15000
2,800,192,1853,4,1,0,1,0,0,0,1,1,0,0,1,0,0,12500
2,630,456,311,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7000
2,900,10,230,4,2,0,1,0,0,1,0,1,0,0,0,0,1,21000
1,270,10,817,4,1,0,1,0,0,1,0,0,1,0,0,0,1,10000
3,1500,454,275,4,2,0,1,0,1,0,0,1,0,0,0,0,1,12000
1,600,200,259,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5000
2,700,300,239,4,1,0,1,0,0,1,0,0,1,0,0,0,1,8500
1,300,456,212,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,1300,446,910,4,2,0,0,1,0,1,0,0,0,1,0,0,1,10000
2,400,266,259,4,1,0,1,0,0,1,0,1,0,0,0,0,1,4600
2,650,446,199,4,2,0,0,1,0,0,1,0,0,1,0,0,1,12000
3,2000,454,259,4,2,0,0,1,0,1,0,0,1,0,0,0,1,30000
3,1068,456,230,4,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
1,150,1,1756,4,1,0,0,1,1,0,0,0,1,0,0,0,1,7500
1,450,192,1399,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7500
2,800,446,239,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5000
2,1000,454,230,4,2,0,0,1,0,0,1,0,1,0,0,0,1,15000
2,900,346,1480,4,1,0,0,1,0,1,0,1,0,0,0,0,1,11000
2,1200,1,743,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
2,1200,192,743,4,2,0,0,1,0,1,0,1,0,0,0,0,1,6000
2,650,456,98,4,2,0,0,1,0,1,0,0,1,0,0,0,1,7000
2,720,311,1848,4,2,0,1,0,0,1,0,0,1,0,0,0,1,8500
1,300,14,963,4,1,0,1,0,0,0,1,1,0,0,0,0,1,5000
3,967.936049,454,2043,4,3,0,1,0,0,0,1,0,1,0,1,0,0,30000
2,700,397,1793,4,2,0,1,0,0,0,1,0,1,0,0,0,1,10000
3,2000,14,1329,4,2,0,0,1,0,1,0,0,1,0,0,0,1,30000
1,250,457,203,4,1,0,0,1,0,1,0,0,1,0,0,0,1,3500
2,1100,456,1329,4,1,0,1,0,0,0,1,1,0,0,0,0,1,8000
2,600,454,98,4,1,0,0,1,0,1,0,0,1,0,0,0,1,7500
2,800,454,362,4,1,0,1,0,0,0,1,0,1,0,0,0,1,6500
1,680,14,816,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7500
1,680,454,816,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7500
2,850,16,1757,4,1,0,1,0,0,1,0,1,0,0,1,0,0,16000
2,850,10,1757,4,1,0,1,0,0,1,0,1,0,0,1,0,0,16000
2,700,454,220,4,1,0,0,1,0,0,1,1,0,0,0,0,1,6500
3,1500,454,265,4,2,0,0,1,0,0,1,0,1,0,0,0,1,40000
2,950,16,1156,4,2,0,0,1,0,1,0,0,1,0,0,0,1,12500
2,500,454,199,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5500
1,450,198,523,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,700,454,1885,4,1,0,0,1,0,0,1,1,0,0,0,0,1,6500
1,500,10,1088,4,1,0,0,1,0,0,1,0,1,0,0,0,1,8000
3,1800,454,264,4,2,0,0,1,0,1,0,0,1,0,0,0,1,14500
1,500,14,1596,4,1,0,1,0,0,1,0,0,1,0,0,0,1,8200
2,480,456,2218,4,2,0,1,0,1,0,0,0,1,0,0,0,1,15000
6,1000,1,1885,4,2,0,0,1,0,1,0,0,1,0,0,0,1,20000
2,800,10,202,4,1,0,0,1,1,0,0,0,1,0,0,0,1,6700
1,435,196,963,4,1,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,700,454,524,4,2,0,1,0,0,1,0,0,1,0,1,0,0,7000
2,800,311,706,4,1,0,0,1,1,0,0,0,1,0,1,0,0,22000
2,450,14,56,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6500
2,550,196,964,4,1,0,1,0,0,1,0,0,1,0,1,0,0,8500
2,800,457,1756,4,2,0,1,0,0,0,1,1,0,0,1,0,0,18000
2,550,454,195,4,2,0,1,0,0,1,0,0,0,1,0,0,1,12000
1,600,198,259,4,1,0,0,1,1,0,0,0,1,0,0,0,1,9000
1,500,446,1389,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
2,1000,10,106,4,2,0,0,1,1,0,0,0,1,0,0,0,1,20000
1,300,10,524,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5000
2,1200,14,326,4,2,0,0,1,1,0,0,0,1,0,0,0,1,12000
2,500,269,1596,4,1,0,1,0,0,1,0,0,1,0,0,0,1,10000
4,1200,10,193,4,2,0,0,1,0,0,1,0,0,1,0,0,1,18000
2,900,10,1757,4,2,0,1,0,0,1,0,0,1,0,1,0,0,15000
3,1300,454,1758,4,3,0,1,0,0,0,1,0,1,0,1,0,0,22000
4,1600,17,1759,4,3,0,1,0,0,0,1,0,1,0,1,0,0,35000
3,1450,446,56,4,2,0,0,1,0,0,1,0,0,1,0,0,1,21000
2,1100,192,28,4,2,0,0,1,1,0,0,1,0,0,1,0,0,25000
2,950,446,166,4,2,0,1,0,0,0,1,0,1,0,0,0,1,180000
1,600,418,1557,4,1,0,1,0,0,0,1,0,1,0,0,0,1,6000
2,700,454,1051,4,2,0,1,0,0,0,1,0,1,0,0,0,1,14000
3,750,454,1749,4,1,0,0,1,0,0,1,0,0,1,0,0,1,8000
2,1000,446,1578,4,1,0,0,1,0,0,1,0,1,0,0,0,1,8000
1,220,454,303,4,1,0,0,1,1,0,0,0,1,0,0,0,1,6000
1,300,14,1332,4,1,0,1,0,0,1,0,1,0,0,1,0,0,8000
1,300,446,1999,4,1,0,1,0,0,0,1,0,1,0,1,0,0,6000
1,700,10,1772,4,1,0,0,1,0,1,0,0,1,0,0,0,1,20000
3,800,446,1496,4,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
3,1600,14,610,4,2,0,0,1,0,0,1,0,1,0,0,0,1,15000
2,1000,14,963,4,2,0,1,0,0,0,1,0,1,0,0,0,1,14000
1,20,196,457,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5000
2,400,454,2167,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7000
1,200,192,1853,4,1,0,0,1,1,0,0,0,1,0,0,0,1,3900
3,840,16,1293,4,2,0,1,0,0,0,1,1,0,0,0,0,1,14000
1,967.936049,1,1760,4,1,0,1,0,0,0,1,0,1,0,1,0,0,6300
2,550,10,1760,4,2,0,1,0,1,0,0,0,1,0,1,0,0,13000
1,300,10,1760,4,1,0,1,0,0,0,1,0,1,0,1,0,0,6800
2,800,1,260,4,2,0,0,1,0,0,1,0,1,0,0,0,1,8000
2,740,459,1885,4,1,0,1,0,0,0,1,1,0,0,0,0,1,10000
2,1300,1,1778,4,2,0,0,1,0,0,1,0,1,0,0,0,1,18000
2,650,446,612,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
2,490,1,563,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
1,250,192,899,4,1,0,0,1,1,0,0,0,1,0,0,0,1,4700
1,250,446,461,4,1,0,0,1,1,0,0,0,1,0,0,0,1,4700
1,450,10,1596,4,1,0,0,1,0,0,1,0,1,0,0,0,1,4500
1,300,446,1757,4,1,0,1,0,0,1,0,0,1,0,0,0,1,6000
2,750,14,1630,4,2,0,0,1,0,0,1,0,1,0,0,0,1,16000
1,250,10,899,4,1,0,0,1,1,0,0,0,1,0,0,0,1,4700
2,751,266,195,4,1,0,1,0,0,0,1,1,0,0,0,0,1,14000
2,900,454,1088,4,1,0,1,0,0,1,0,1,0,0,0,0,1,9000
2,400,14,990,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,1000,454,1756,4,2,0,1,0,0,1,0,0,1,0,1,0,0,17500
2,1000,446,1887,4,1,0,1,0,0,0,1,0,1,0,0,0,1,8500
3,1500,1,376,4,2,0,1,0,0,1,0,0,0,1,0,0,1,15000
2,750,14,1919,4,2,0,1,0,0,0,1,0,1,0,0,0,1,12500
1,1200,198,963,4,1,0,0,1,0,1,0,0,1,0,0,0,1,13000
2,700,446,1749,4,1,0,0,1,0,0,1,0,1,0,0,0,1,8000
2,700,311,611,4,1,0,1,0,1,0,0,0,1,0,0,0,1,8000
2,1000,454,404,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
2,1200,14,1028,4,2,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,550,196,261,4,1,0,0,1,1,0,0,0,1,0,0,0,1,2200
2,800,457,2112,4,1,0,1,0,0,0,1,1,0,0,0,0,1,8000
2,280,14,1382,4,1,0,0,1,0,0,1,1,0,0,0,0,1,5500
3,1100,454,1974,4,3,0,0,1,0,0,1,0,1,0,0,0,1,20000
2,950,454,899,4,1,0,0,1,0,0,1,0,1,0,1,0,0,7000
1,250,10,1525,4,1,0,0,1,1,0,0,0,1,0,0,0,1,3500
2,1000,454,724,4,1,0,1,0,0,0,1,1,0,0,0,0,1,5000
3,1000,454,1757,4,2,0,1,0,0,1,0,0,1,0,0,0,1,20000
2,650,454,754,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,700,10,267,4,2,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,700,456,196,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7000
3,1000,456,542,4,2,0,0,1,0,1,0,0,1,0,0,0,1,12000
2,900,16,1481,4,2,0,1,0,0,0,1,1,0,0,0,0,1,14500
1,700,10,2042,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
2,700,10,816,4,2,0,0,1,0,0,1,0,1,0,0,0,1,9500
2,450,184,259,4,2,0,1,0,0,1,0,0,1,0,0,0,1,10000
1,120,456,522,4,1,0,0,1,0,0,1,0,1,0,0,0,1,3500
2,800,10,1389,4,2,0,0,1,0,1,0,0,1,0,0,0,1,9000
3,1220,196,1759,4,2,0,1,0,0,0,1,0,1,0,0,0,1,40000
3,1100,456,1277,4,1,0,0,1,0,0,1,0,1,0,0,0,1,16500
3,700,456,690,4,2,0,1,0,0,0,1,0,0,1,0,0,1,8000
2,800,456,1778,4,1,0,0,1,1,0,0,0,1,0,0,0,1,12000
2,670,192,526,4,1,0,0,1,0,0,1,0,0,1,0,0,1,6500
4,1300,10,212,4,3,0,0,1,0,0,1,0,1,0,0,0,1,40000
1,190,454,197,4,1,0,0,1,0,1,0,0,1,0,0,0,1,5000
2,700,454,885,4,1,0,0,1,0,1,0,0,1,0,0,0,1,9000
1,240,457,816,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7000
2,850,198,260,4,1,0,1,0,0,1,0,0,0,1,0,0,1,18000
1,950,10,691,4,2,0,0,1,0,0,1,0,1,0,0,0,1,9000
1,450,10,329,4,1,0,1,0,1,0,0,0,1,0,0,0,1,5500
2,800,454,324,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7500
2,600,10,1403,4,1,0,1,0,0,0,1,0,1,0,0,0,1,4000
3,800,192,1967,4,2,0,1,0,0,0,1,1,0,0,0,0,1,10500
3,1100,454,1936,4,2,0,1,0,0,0,1,0,1,0,0,0,1,15000
2,800,454,196,4,1,0,1,0,1,0,0,0,1,0,0,0,1,15000
1,2200,200,944,4,3,0,0,1,1,0,0,0,1,0,0,0,1,50000
2,950,1,860,4,2,0,1,0,0,0,1,1,0,0,0,0,1,12000
2,550,196,2025,4,1,0,1,0,0,0,1,0,1,0,0,0,1,11000
2,1800,1,311,4,2,0,1,0,0,0,1,1,0,0,0,0,1,12000
2,1000,454,404,4,1,0,0,1,1,0,0,0,1,0,0,0,1,8000
2,600,456,194,4,2,0,0,1,0,1,0,0,1,0,0,0,1,18000
2,750,198,2211,4,2,0,1,0,0,1,0,0,1,0,0,0,1,8000
2,685,196,524,4,1,0,0,1,0,0,1,0,1,0,1,0,0,7000
1,44,446,235,4,1,0,1,0,1,0,0,0,1,0,0,0,1,6500
4,1200,454,2007,4,1,0,1,0,0,0,1,0,1,0,0,0,1,13000
2,500,454,52,4,1,0,1,0,0,0,1,1,0,0,0,0,1,9000
4,1110,192,1577,4,2,0,1,0,0,0,1,0,1,0,0,0,1,10000
2,1000,14,816,4,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
2,392,454,816,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5000
2,700,10,237,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
1,750,198,990,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5200
3,1500,10,312,4,2,0,0,1,0,0,1,0,0,1,0,0,1,15000
2,900,446,990,4,2,0,0,1,0,0,1,0,1,0,0,0,1,9000
1,710,1,1757,4,1,0,0,1,1,0,0,1,0,0,1,0,0,24000
1,400,456,2196,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5500
